DateTime,Air temperature | (°C),Power generated by system | (MW),Pressure | (atm),Wind speed | (m/s)
2019-01-02 16:00:00,3.901,4.92684,0.991989,5.11
2019-01-02 17:00:00,5.578,1.3034,0.991843,3.946
2019-01-02 18:00:00,7.039,0,0.991669,3.04
2019-01-02 19:00:00,8.243,0,0.991462,2.38
2019-01-02 20:00:00,9.203,0,0.991194,2.068
2019-01-02 21:00:00,9.808,0,0.990899,1.886
2019-01-02 22:00:00,9.349,0,0.990634,2.426
2019-01-02 23:00:00,5.977,0,0.990709,3.412
2019-01-03 00:00:00,4.652,0.995606,0.990939,3.803
2019-01-03 01:00:00,3.956,1.66172,0.99108,4.11
2019-01-03 02:00:00,3.119,3.06072,0.991185,4.612
2019-01-03 03:00:00,2.503,11.3547,0.991121,6.282
2019-01-03 04:00:00,1.743,14.3691,0.990967,6.774
2019-01-03 05:00:00,1.087,21.2785,0.990807,7.591
2019-01-03 06:00:00,0.724,34.7533,0.990834,8.96
2019-01-03 07:00:00,1.144,45.8952,0.991063,10.019
2019-01-03 08:00:00,1.868,34.2257,0.991178,8.921
2019-01-03 09:00:00,1.606,30.2575,0.99126,8.569
2019-01-03 10:00:00,1.283,28.0582,0.991386,8.345
2019-01-03 11:00:00,1.081,23.2929,0.991667,7.838
2019-01-03 12:00:00,1.068,29.0654,0.991865,8.433
2019-01-03 13:00:00,1.056,34.1092,0.992048,8.896
2019-01-03 14:00:00,1.937,34.0528,0.992169,8.901
2019-01-03 15:00:00,4.047,17.7016,0.992188,7.182
2019-01-03 16:00:00,6.377,4.53884,0.991966,5.034
2019-01-03 17:00:00,8.406,3.02651,0.991383,4.62
2019-01-03 18:00:00,9.954,2.19334,0.990889,4.318
2019-01-03 19:00:00,11.128,1.26536,0.99037,3.949
2019-01-03 20:00:00,12.128,2.90609,0.989766,4.602
2019-01-03 21:00:00,12.364,3.95308,0.989237,4.91
2019-01-03 22:00:00,11.649,3.88915,0.988795,4.899
2019-01-03 23:00:00,8.479,6.63176,0.988598,5.525
2019-01-04 00:00:00,6.938,15.134,0.988555,6.97
2019-01-04 01:00:00,6.091,13.2875,0.988491,6.66
2019-01-04 02:00:00,5.456,11.3761,0.988371,6.307
2019-01-04 03:00:00,5.872,20.373,0.988303,7.583
2019-01-04 04:00:00,5.641,37.6814,0.988076,9.487
2019-01-04 05:00:00,5.433,35.938,0.987649,9.275
2019-01-04 06:00:00,5.395,24.8463,0.987472,8.153
2019-01-04 07:00:00,6.506,14.7193,0.987403,6.892
2019-01-04 08:00:00,6.861,10.3735,0.9872,6.166
2019-01-04 09:00:00,7.258,11.5098,0.986888,6.368
2019-01-04 10:00:00,7.487,10.7184,0.986579,6.201
2019-01-04 11:00:00,7.654,11.5,0.986389,6.378
2019-01-04 12:00:00,7.957,11.7928,0.986043,6.445
2019-01-04 13:00:00,7.915,12.81,0.98563,6.624
2019-01-04 14:00:00,7.344,11.4592,0.985335,6.379
2019-01-04 15:00:00,8.452,8.61617,0.985032,5.887
2019-01-04 16:00:00,11.127,2.20777,0.984393,4.332
2019-01-04 17:00:00,13.487,1.95681,0.98354,4.25
2019-01-04 18:00:00,15.949,11.7613,0.982735,6.576
2019-01-04 19:00:00,16.747,13.8303,0.982202,6.853
2019-01-04 20:00:00,16.091,7.7609,0.981877,5.745
2019-01-04 21:00:00,16.355,5.70692,0.98104,5.425
2019-01-04 22:00:00,15.16,20.6024,0.980077,7.678
2019-01-04 23:00:00,14.947,26.2429,0.979534,8.307
2019-01-05 00:00:00,15.222,28.2442,0.979209,8.574
2019-01-05 01:00:00,15.448,35.6044,0.979178,9.42
2019-01-05 02:00:00,15.39,36.7624,0.979083,9.474
2019-01-05 03:00:00,15.357,27.4982,0.978637,8.546
2019-01-05 04:00:00,15.268,28.9533,0.978039,8.725
2019-01-05 05:00:00,15.131,26.9788,0.977431,8.508
2019-01-05 06:00:00,15.155,36.038,0.976866,9.454
2019-01-05 07:00:00,15.058,41.2384,0.976353,9.97
2019-01-05 08:00:00,15.037,44.0998,0.975986,10.262
2019-01-05 09:00:00,15.052,31.5706,0.975404,8.961
2019-01-05 10:00:00,15.257,28.5292,0.974728,8.6
2019-01-05 11:00:00,15.404,33.5099,0.974009,9.067
2019-01-05 12:00:00,15.657,27.5386,0.973727,8.593
2019-01-05 13:00:00,15.758,39.4281,0.973239,9.845
2019-01-05 14:00:00,15.695,39.1512,0.97332,9.735
2019-01-05 15:00:00,16.621,40.6945,0.973417,9.84
2019-01-05 16:00:00,17.127,37.0919,0.973212,9.518
2019-01-05 17:00:00,17.4,36.9382,0.972966,9.515
2019-01-05 18:00:00,17.648,25.5452,0.972669,8.274
2019-01-05 19:00:00,17.5,17.8633,0.97279,7.343
2019-01-05 20:00:00,18.034,14.2043,0.97284,6.881
2019-01-05 21:00:00,18.291,24.9939,0.972971,8.224
2019-01-05 22:00:00,17.533,30.1481,0.9733,8.768
2019-01-05 23:00:00,15.283,24.7736,0.974008,8.179
2019-01-06 00:00:00,12.697,20.7047,0.974688,7.68
2019-01-06 01:00:00,11.746,28.5237,0.975226,8.602
2019-01-06 02:00:00,10.843,24.6865,0.975844,8.189
2019-01-06 03:00:00,9.822,8.55596,0.976413,5.936
2019-01-06 04:00:00,9.268,2.14469,0.976694,4.315
2019-01-06 05:00:00,8.8,0.917818,0.976789,3.774
2019-01-06 06:00:00,8.042,1.27004,0.977037,3.942
2019-01-06 07:00:00,8.405,2.86884,0.97751,4.622
2019-01-06 08:00:00,8.405,4.61359,0.977825,5.112
2019-01-06 09:00:00,7.816,15.6459,0.978276,7.025
2019-01-06 10:00:00,9.442,11.3643,0.978511,6.381
2019-01-06 11:00:00,9.367,2.47438,0.979247,4.433
2019-01-06 12:00:00,9.881,1.04475,0.979626,3.836
2019-01-06 13:00:00,10.318,4.55981,0.980135,5.063
2019-01-06 14:00:00,10.265,2.23444,0.980764,4.348
2019-01-06 15:00:00,10.733,0,0.981182,3.087
2019-01-06 16:00:00,12.322,0,0.981459,1.583
2019-01-06 17:00:00,14.064,0,0.981443,1.474
2019-01-06 18:00:00,15.025,0,0.981546,1.779
2019-01-06 19:00:00,15.853,0,0.981656,1.847
2019-01-06 20:00:00,16.501,0,0.981655,2.246
2019-01-06 21:00:00,16.723,0,0.981665,2.958
2019-01-06 22:00:00,16.249,0,0.981846,3.421
2019-01-06 23:00:00,13.548,0.805824,0.98215,3.727
2019-01-07 00:00:00,12.156,0.907874,0.98258,3.77
2019-01-07 01:00:00,11.195,0,0.982997,3.544
2019-01-07 02:00:00,10.728,0,0.983331,2.833
2019-01-07 03:00:00,10.489,0,0.983493,1.784
2019-01-07 04:00:00,9.799,0,0.983447,1.749
2019-01-07 05:00:00,8.674,0,0.98319,1.922
2019-01-07 06:00:00,8.465,0,0.983197,2.782
2019-01-07 07:00:00,8.956,1.14601,0.983273,3.884
2019-01-07 08:00:00,9.323,6.80754,0.983133,5.554
2019-01-07 09:00:00,9.788,19.9011,0.982875,7.519
2019-01-07 10:00:00,9.598,27.1835,0.982578,8.358
2019-01-07 11:00:00,9.725,29.2372,0.982254,8.585
2019-01-07 12:00:00,10.565,22.7275,0.981909,7.883
2019-01-07 13:00:00,11.031,21.0206,0.981676,7.674
2019-01-07 14:00:00,11.367,14.4493,0.981284,6.855
2019-01-07 15:00:00,11.717,32.3172,0.980359,8.896
2019-01-07 16:00:00,12.269,16.3973,0.980051,7.143
2019-01-07 17:00:00,12.658,20.8589,0.979036,7.777
2019-01-07 18:00:00,12.699,10.6796,0.978259,6.237
2019-01-07 19:00:00,14.072,20.2907,0.977375,7.608
2019-01-07 20:00:00,15.572,41.2151,0.976936,10.004
2019-01-07 21:00:00,13.548,16.7291,0.977125,7.185
2019-01-07 22:00:00,12.217,13.7723,0.977342,6.787
2019-01-07 23:00:00,12.002,4.36996,0.977288,5.05
2019-01-08 00:00:00,12.018,15.2617,0.977572,7.032
2019-01-08 01:00:00,11.698,19.5334,0.978179,7.525
2019-01-08 02:00:00,10.921,20.2197,0.978514,7.578
2019-01-08 03:00:00,10.41,19.3703,0.979077,7.461
2019-01-08 04:00:00,9.964,16.2316,0.979257,7.072
2019-01-08 05:00:00,9.822,21.9607,0.979172,7.796
2019-01-08 06:00:00,9.241,21.772,0.979873,7.767
2019-01-08 07:00:00,6.983,24.9674,0.98049,8.103
2019-01-08 08:00:00,6.003,26.6631,0.981081,8.269
2019-01-08 09:00:00,7.095,26.9899,0.981467,8.314
2019-01-08 10:00:00,5.879,34.1442,0.981986,8.997
2019-01-08 11:00:00,4.373,40.125,0.982816,9.696
2019-01-08 12:00:00,2.853,27.3294,0.983491,8.402
2019-01-08 13:00:00,1.533,23.9544,0.984128,8.028
2019-01-08 14:00:00,1.336,21.496,0.984707,7.726
2019-01-08 15:00:00,2.306,2.85172,0.985344,4.563
2019-01-08 16:00:00,3.444,1.09389,0.985653,3.846
2019-01-08 17:00:00,4.572,0.953001,0.9856,3.785
2019-01-08 18:00:00,5.67,1.71554,0.985519,4.145
2019-01-08 19:00:00,6.559,2.80601,0.985351,4.536
2019-01-08 20:00:00,7.045,3.07269,0.985326,4.673
2019-01-08 21:00:00,7.071,5.09373,0.985327,5.258
2019-01-08 22:00:00,6.976,5.80268,0.985278,5.426
2019-01-08 23:00:00,5.22,16.8858,0.985329,7.192
2019-01-09 00:00:00,3.333,12.0281,0.985374,6.53
2019-01-09 01:00:00,3.205,27.926,0.985556,8.366
2019-01-09 02:00:00,2.857,44.0814,0.985817,9.923
2019-01-09 03:00:00,2.194,45.1308,0.985928,9.996
2019-01-09 04:00:00,1.662,43.9878,0.9859,9.903
2019-01-09 05:00:00,0.582,44.6383,0.985642,9.966
2019-01-09 06:00:00,-0.066,35.9632,0.985599,9.11
2019-01-09 07:00:00,-0.139,27.934,0.985659,8.33
2019-01-09 08:00:00,0.035,28.2948,0.985442,8.364
2019-01-09 09:00:00,-0.035,45.4106,0.98507,10.029
2019-01-09 10:00:00,0.054,53.2697,0.984906,10.804
2019-01-09 11:00:00,0.059,47.3253,0.985002,10.245
2019-01-09 12:00:00,0.228,50.7769,0.985153,10.658
2019-01-09 13:00:00,0.447,53.1118,0.98549,10.917
2019-01-09 14:00:00,0.906,42.1314,0.986073,9.803
2019-01-09 15:00:00,3.258,24.0046,0.986489,7.945
2019-01-09 16:00:00,4.69,23.3592,0.986835,7.883
2019-01-09 17:00:00,5.979,33.2332,0.986999,8.895
2019-01-09 18:00:00,6.858,37.5515,0.987219,9.387
2019-01-09 19:00:00,7.37,43.3073,0.987749,9.917
2019-01-09 20:00:00,7.506,43.0702,0.988137,9.892
2019-01-09 21:00:00,7.287,46.6452,0.988414,10.192
2019-01-09 22:00:00,6.594,40.6687,0.988951,9.661
2019-01-09 23:00:00,4.875,47.5107,0.989667,10.238
2019-01-10 00:00:00,3.479,48.0607,0.990336,10.269
2019-01-10 01:00:00,2.554,54.3854,0.990921,10.952
2019-01-10 02:00:00,1.635,49.8111,0.991531,10.488
2019-01-10 03:00:00,0.42,51.5978,0.991937,10.626
2019-01-10 04:00:00,-0.001,53.6579,0.992084,10.876
2019-01-10 05:00:00,-0.752,48.6918,0.992259,10.284
2019-01-10 06:00:00,-1.13,38.7823,0.992679,9.356
2019-01-10 07:00:00,-1.692,36.4802,0.993064,9.072
2019-01-10 08:00:00,-1.441,47.2307,0.9933,10.081
2019-01-10 09:00:00,-1.287,35.5916,0.993486,8.99
2019-01-10 10:00:00,-1.739,24.745,0.993815,7.948
2019-01-10 11:00:00,-2.062,20.6538,0.994096,7.482
2019-01-10 12:00:00,-2.337,8.60736,0.994362,5.865
2019-01-10 13:00:00,-2.542,10.1864,0.994551,6.057
2019-01-10 14:00:00,-1.584,5.68939,0.994714,5.26
2019-01-10 15:00:00,0.638,0,0.994927,2.938
2019-01-10 16:00:00,2.401,0,0.994982,2.363
2019-01-10 17:00:00,3.848,0,0.994668,1.972
2019-01-10 18:00:00,5.199,0,0.994316,2.309
2019-01-10 19:00:00,6.222,0,0.994023,1.839
2019-01-10 20:00:00,6.898,0,0.993683,1.662
2019-01-10 21:00:00,7.149,0,0.993363,1.962
2019-01-10 22:00:00,6.561,0,0.993075,1.943
2019-01-10 23:00:00,3.225,0,0.992929,2.977
2019-01-11 00:00:00,1.744,2.0482,0.99284,4.247
2019-01-11 01:00:00,0.715,4.4834,0.992758,4.994
2019-01-11 02:00:00,0.176,9.44986,0.992756,5.966
2019-01-11 03:00:00,0.25,20.5421,0.992728,7.502
2019-01-11 04:00:00,0.357,21.4817,0.992551,7.629
2019-01-11 05:00:00,0.672,30.2599,0.992217,8.562
2019-01-11 06:00:00,0.471,35.2953,0.992183,9.015
2019-01-11 07:00:00,0.452,37.6518,0.99228,9.284
2019-01-11 08:00:00,0.661,42.6192,0.992496,9.754
2019-01-11 09:00:00,0.322,34.8507,0.992543,9.003
2019-01-11 10:00:00,0.357,38.4385,0.992636,9.435
2019-01-11 11:00:00,0.307,40.7921,0.992829,9.639
2019-01-11 12:00:00,0.35,44.3117,0.992997,9.929
2019-01-11 13:00:00,0.412,49.5936,0.993159,10.378
2019-01-11 14:00:00,1.326,50.9494,0.993252,10.505
2019-01-11 15:00:00,3.938,25.5743,0.993248,8.139
2019-01-11 16:00:00,6.338,19.2377,0.993058,7.426
2019-01-11 17:00:00,8.103,24.3223,0.992512,8.088
2019-01-11 18:00:00,9.477,25.1782,0.991985,8.218
2019-01-11 19:00:00,10.661,28.8906,0.991553,8.615
2019-01-11 20:00:00,11.418,33.74,0.991158,9.056
2019-01-11 21:00:00,11.715,35.9562,0.990792,9.28
2019-01-11 22:00:00,11.096,30.9556,0.990481,8.771
2019-01-11 23:00:00,9.165,41.0346,0.990502,9.785
2019-01-12 00:00:00,8.618,49.0502,0.990624,10.572
2019-01-12 01:00:00,8.039,58.311,0.990887,12.065
2019-01-12 02:00:00,7.775,57.9277,0.991154,11.895
2019-01-12 03:00:00,7.881,58.5515,0.991405,12.388
2019-01-12 04:00:00,8.286,58.4099,0.991593,12.141
2019-01-12 05:00:00,9.374,57.6709,0.991241,11.91
2019-01-12 06:00:00,9.745,57.987,0.991013,12.2
2019-01-12 07:00:00,9.913,57.9642,0.991121,12.206
2019-01-12 08:00:00,9.936,56.0733,0.991294,11.488
2019-01-12 09:00:00,9.784,55.5467,0.991475,11.377
2019-01-12 10:00:00,9.264,52.5799,0.991627,10.965
2019-01-12 11:00:00,8.415,50.2614,0.991932,10.701
2019-01-12 12:00:00,8.471,56.7392,0.992124,11.557
2019-01-12 13:00:00,8.769,57.9607,0.992182,12.018
2019-01-12 14:00:00,9.168,51.3032,0.992385,10.802
2019-01-12 15:00:00,11.043,32.9824,0.992429,9.021
2019-01-12 16:00:00,12.616,16.5162,0.992314,7.192
2019-01-12 17:00:00,14.848,10.6141,0.992025,6.281
2019-01-12 18:00:00,16.433,11.0597,0.991642,6.357
2019-01-12 19:00:00,17.698,11.9787,0.991266,6.53
2019-01-12 20:00:00,18.535,13.842,0.990928,6.799
2019-01-12 21:00:00,18.881,18.9198,0.990514,7.443
2019-01-12 22:00:00,17.653,17.1736,0.990283,7.229
2019-01-12 23:00:00,16.194,24.9803,0.990298,8.249
2019-01-13 00:00:00,15.581,33.5314,0.99028,9.124
2019-01-13 01:00:00,15.279,39.8593,0.99027,9.758
2019-01-13 02:00:00,14.767,42.9428,0.990399,10.007
2019-01-13 03:00:00,14.119,48.0922,0.990371,10.477
2019-01-13 04:00:00,13.66,52.5016,0.99024,10.951
2019-01-13 05:00:00,13.235,50.8231,0.989959,10.744
2019-01-13 06:00:00,12.92,44.1753,0.989886,10.103
2019-01-13 07:00:00,12.778,43.5094,0.989871,10.043
2019-01-13 08:00:00,12.77,46.1914,0.98992,10.261
2019-01-13 09:00:00,12.809,42.5927,0.989887,9.919
2019-01-13 10:00:00,12.738,38.2706,0.989703,9.529
2019-01-13 11:00:00,12.517,37.795,0.989801,9.455
2019-01-13 12:00:00,11.905,35.8114,0.989844,9.226
2019-01-13 13:00:00,11.723,34.876,0.990027,9.096
2019-01-13 14:00:00,12.162,27.1798,0.990091,8.349
2019-01-13 15:00:00,14.133,18.8997,0.989998,7.403
2019-01-13 16:00:00,16.799,9.71643,0.989769,6.09
2019-01-13 17:00:00,18.427,15.9553,0.989271,7.066
2019-01-13 18:00:00,19.845,20.5797,0.988823,7.702
2019-01-13 19:00:00,20.48,18.7841,0.988427,7.49
2019-01-13 20:00:00,20.636,17.5226,0.987917,7.296
2019-01-13 21:00:00,20.157,17.4732,0.987518,7.272
2019-01-13 22:00:00,19.091,16.2832,0.987345,7.116
2019-01-13 23:00:00,18.152,12.863,0.987348,6.677
2019-01-14 00:00:00,17.676,18.321,0.987561,7.365
2019-01-14 01:00:00,16.699,22.786,0.987634,7.922
2019-01-14 02:00:00,16.3,21.0324,0.987653,7.703
2019-01-14 03:00:00,15.925,19.4137,0.987696,7.485
2019-01-14 04:00:00,15.676,20.6017,0.987542,7.638
2019-01-14 05:00:00,15.335,26.2589,0.987279,8.281
2019-01-14 06:00:00,15.108,26.5236,0.987452,8.316
2019-01-14 07:00:00,14.975,25.301,0.987402,8.178
2019-01-14 08:00:00,14.575,26.3696,0.987408,8.293
2019-01-14 09:00:00,14.583,28.7223,0.987379,8.55
2019-01-14 10:00:00,14.142,23.0779,0.987375,7.927
2019-01-14 11:00:00,13.876,15.9662,0.987588,7.045
2019-01-14 12:00:00,13.735,17.6597,0.987664,7.249
2019-01-14 13:00:00,13.357,12.3369,0.987642,6.567
2019-01-14 14:00:00,13.946,15.8238,0.9876,7.026
2019-01-14 15:00:00,15.585,9.04599,0.987604,5.989
2019-01-14 16:00:00,17.213,2.68575,0.987382,4.527
2019-01-14 17:00:00,18.686,5.31537,0.986918,5.273
2019-01-14 18:00:00,19.93,13.488,0.986583,6.778
2019-01-14 19:00:00,20.477,11.9017,0.986146,6.546
2019-01-14 20:00:00,20.661,14.8063,0.985643,6.947
2019-01-14 21:00:00,20.464,12.1152,0.985195,6.578
2019-01-14 22:00:00,19.576,16.5761,0.984908,7.165
2019-01-14 23:00:00,18.007,21.7056,0.984948,7.815
2019-01-15 00:00:00,17.207,19.7695,0.984844,7.552
2019-01-15 01:00:00,15.922,24.4529,0.984695,8.107
2019-01-15 02:00:00,15.372,31.8797,0.984468,8.868
2019-01-15 03:00:00,13.957,42.436,0.984116,9.923
2019-01-15 04:00:00,13.734,51.0161,0.983667,10.766
2019-01-15 05:00:00,13.86,54.1169,0.983168,11.189
2019-01-15 06:00:00,14.77,52.4655,0.982795,10.989
2019-01-15 07:00:00,14.86,44.9535,0.982747,10.167
2019-01-15 08:00:00,14.5,41.8152,0.982692,9.88
2019-01-15 09:00:00,14.408,40.9674,0.982476,9.807
2019-01-15 10:00:00,14.094,32.2939,0.98234,8.896
2019-01-15 11:00:00,13.706,23.1881,0.982272,7.95
2019-01-15 12:00:00,13.676,12.3492,0.982293,6.576
2019-01-15 13:00:00,13.844,15.8053,0.982659,7.086
2019-01-15 14:00:00,13.901,24.4548,0.98277,8.155
2019-01-15 15:00:00,14.252,13.3863,0.982944,6.79
2019-01-15 16:00:00,14.965,11.0079,0.9833,6.339
2019-01-15 17:00:00,16.101,8.44471,0.982988,5.886
2019-01-15 18:00:00,16.963,19.6542,0.982961,7.553
2019-01-15 19:00:00,16.692,10.5777,0.9829,6.246
2019-01-15 20:00:00,15.708,18.0099,0.983299,7.332
2019-01-15 21:00:00,14.178,3.6453,0.983336,4.839
2019-01-15 22:00:00,13.381,4.99111,0.983378,5.183
2019-01-15 23:00:00,12.572,1.38254,0.983586,4.007
2019-01-16 00:00:00,12.186,0,0.983851,3.197
2019-01-16 01:00:00,11.829,2.31299,0.984065,4.385
2019-01-16 02:00:00,11.323,11.8616,0.984501,6.492
2019-01-16 03:00:00,8.966,32.9536,0.98538,8.904
2019-01-16 04:00:00,7.569,19.0932,0.985924,7.39
2019-01-16 05:00:00,6.121,26.8028,0.986247,8.375
2019-01-16 06:00:00,4.975,29.749,0.986936,8.608
2019-01-16 07:00:00,4.534,21.816,0.98728,7.768
2019-01-16 08:00:00,4.078,21.4968,0.98792,7.752
2019-01-16 09:00:00,3.589,22.7803,0.9885,7.89
2019-01-16 10:00:00,2.585,23.7506,0.989121,7.973
2019-01-16 11:00:00,1.531,28.501,0.98979,8.438
2019-01-16 12:00:00,0.896,27.1272,0.990404,8.327
2019-01-16 13:00:00,0.181,27.3839,0.99098,8.28
2019-01-16 14:00:00,-0.147,18.6617,0.991618,7.306
2019-01-16 15:00:00,-0.167,21.2975,0.992214,7.63
2019-01-16 16:00:00,0.508,22.9878,0.992628,7.806
2019-01-16 17:00:00,0.858,22.6555,0.992739,7.779
2019-01-16 18:00:00,1.336,26.3245,0.992895,8.152
2019-01-16 19:00:00,1.798,24.9847,0.993279,8.034
2019-01-16 20:00:00,2.152,26.2532,0.993523,8.151
2019-01-16 21:00:00,2.249,27.5046,0.993823,8.272
2019-01-16 22:00:00,1.948,35.1385,0.9941,8.984
2019-01-16 23:00:00,1.198,27.7577,0.995064,8.277
2019-01-17 00:00:00,0.738,40.5847,0.995812,9.549
2019-01-17 01:00:00,0.27,44.6113,0.996582,9.887
2019-01-17 02:00:00,-0.347,48.9968,0.996897,10.256
2019-01-17 03:00:00,-0.932,46.8529,0.997449,10.031
2019-01-17 04:00:00,-1.522,47.7688,0.997526,10.117
2019-01-17 05:00:00,-2.202,33.4899,0.997596,8.843
2019-01-17 06:00:00,-2.393,23.9673,0.997567,7.932
2019-01-17 07:00:00,-2.319,25.5733,0.997777,8.11
2019-01-17 08:00:00,-2.303,29.2612,0.997995,8.515
2019-01-17 09:00:00,-2.371,20.8191,0.998009,7.577
2019-01-17 10:00:00,-2.289,19.049,0.998009,7.354
2019-01-17 11:00:00,-2.217,15.5638,0.998155,6.938
2019-01-17 12:00:00,-2.45,11.9502,0.99838,6.396
2019-01-17 13:00:00,-2.886,16.5532,0.998407,7.039
2019-01-17 14:00:00,-2.123,13.4145,0.998456,6.62
2019-01-17 15:00:00,-0.601,8.59528,0.998478,5.787
2019-01-17 16:00:00,0.884,5.89028,0.998215,5.322
2019-01-17 17:00:00,2.453,4.68411,0.997655,5.042
2019-01-17 18:00:00,4.104,2.85523,0.997126,4.601
2019-01-17 19:00:00,5,1.29485,0.99661,3.985
2019-01-17 20:00:00,5.766,1.34811,0.996259,3.967
2019-01-17 21:00:00,6.19,1.07547,0.995907,3.839
2019-01-17 22:00:00,6.217,0,0.995595,3.488
2019-01-17 23:00:00,4.992,1.32778,0.995334,3.955
2019-01-18 00:00:00,4.389,2.19458,0.995218,4.309
2019-01-18 01:00:00,3.855,8.31234,0.995148,5.771
2019-01-18 02:00:00,4.283,28.1277,0.994977,8.366
2019-01-18 03:00:00,4.397,21.8733,0.994676,7.69
2019-01-18 04:00:00,3.823,20.3816,0.994298,7.49
2019-01-18 05:00:00,3.552,22.8279,0.9938,7.792
2019-01-18 06:00:00,3.604,29.5185,0.993442,8.509
2019-01-18 07:00:00,2.745,29.5339,0.993349,8.501
2019-01-18 08:00:00,2.354,26.2309,0.993215,8.147
2019-01-18 09:00:00,2.348,18.3013,0.993002,7.242
2019-01-18 10:00:00,3.558,11.0736,0.992856,6.233
2019-01-18 11:00:00,3.818,9.11812,0.992836,5.95
2019-01-18 12:00:00,3.846,6.01631,0.992708,5.403
2019-01-18 13:00:00,3.812,5.97236,0.992498,5.417
2019-01-18 14:00:00,3.779,4.52248,0.992304,5.073
2019-01-18 15:00:00,3.867,3.96087,0.992188,4.927
2019-01-18 16:00:00,4.094,3.8992,0.992033,4.88
2019-01-18 17:00:00,4.37,1.78079,0.9915,4.184
2019-01-18 18:00:00,4.869,1.95614,0.990975,4.249
2019-01-18 19:00:00,5.442,0.69961,0.990606,3.659
2019-01-18 20:00:00,6.157,0.695879,0.990024,3.657
2019-01-18 21:00:00,6.852,0,0.989337,2.342
2019-01-18 22:00:00,7.392,0,0.988769,1.573
2019-01-18 23:00:00,6.899,0,0.988557,0.777
2019-01-19 00:00:00,6.694,0,0.988636,0.941
2019-01-19 01:00:00,6.476,0,0.988549,2.619
2019-01-19 02:00:00,6.49,3.54197,0.988775,4.769
2019-01-19 03:00:00,6.424,16.014,0.988788,7.007
2019-01-19 04:00:00,5.971,26.342,0.989082,8.207
2019-01-19 05:00:00,5.659,10.0193,0.989113,6.084
2019-01-19 06:00:00,5.335,11.596,0.989309,6.368
2019-01-19 07:00:00,4.298,16.9835,0.989756,7.106
2019-01-19 08:00:00,3.22,10.0204,0.990079,6.072
2019-01-19 09:00:00,2.602,14.262,0.990257,6.771
2019-01-19 10:00:00,2.281,13.0658,0.990426,6.599
2019-01-19 11:00:00,1.148,21.2846,0.990792,7.688
2019-01-19 12:00:00,0.06,16.4509,0.991164,7.02
2019-01-19 13:00:00,-0.433,28.3538,0.991633,8.339
2019-01-19 14:00:00,-0.805,22.596,0.991999,7.718
2019-01-19 15:00:00,0.081,14.3122,0.992327,6.74
2019-01-19 16:00:00,1.459,10.7211,0.992344,6.157
2019-01-19 17:00:00,2.925,11.059,0.991932,6.209
2019-01-19 18:00:00,4.258,11.7946,0.991596,6.386
2019-01-19 19:00:00,5.262,10.9499,0.991428,6.205
2019-01-19 20:00:00,5.877,10.8076,0.991219,6.186
